Comment,Description,Designator,Footprint,LibRef,Quantity

"antenna","uFL SMT Antenna Connector","ANT1, ANT2","uFL","antenna","2"
"Generic Capacitor","Generic capacitor","C1, C2, C3, C4, C6, C8, C11, C12, C14, C16, C17, C18, C19, C20, C21, C22, C23","0805","Capacitor","17"
"47uF, 25V","Polorised capacitor 47uF, 25V","C7","Cap 6.3mm dia 5.4mm Height","865080443007","1"
"33uF, 16V","Polorised capacitor 33uF, 16V","C9","Cap 6.3mm dia 5.4mm Height","865060343003","1"
"Cap Cer 100uF","CAP CER 100UF 10V X5R 1210","C15","Cap 1210","LMK325ABJ107MM-P","1"
"CONN SMART CARD","CONN SMART CARD","CONN","CONN SMART CARD","CONN SMART CARD","1"
"RSX301L-30TE25","DIODE SCHOTTKY 30V 3A","D1, D3","SMA_diode","RSX301L-30TE25","2"
"Diode Zener","DIODE ZENER 5.1V 500MW SOD123","D2","Diode Zener","MMSZ5231BT1G","1"
"TVS Diode","TVS DIODE 15VWM 24VC DO214AA","D4","TVS Diode 15","SMBJ15D-M3/H","1"
"15uH","INDUCTOR 15uH 2.4A 70mOHMS SMD","L1","SRN8040","SRN8040-150MCT","1"
"LD39100PUR","Adjustable linear voltage regulator","LD39100PUR","LD39100PUR","LD39100PUR","1"
"Led Red","LED RED CLEAR 0805 SMD","LED1","0805 LED","LTST-C171EKT","1"
"Led Green","LED GREEN CLEAR 0805 SMD","LED2","0805 LED","LTST-C170GKT","1"
"N-CH Mosfet Switch","MOSFET N-CH 20V 1.05A SOT23","M1","SOT32-3","BSH105,215","1"
"OBD-II","OBD-II","OBD-II","OBD_II","OBD-II","1"
"Rasberry Pi footprint","Rasberry Pi footprint","PCB0","Rasberry PI","Rasberry Pi","1"
"DMP3037LSS","P-CHANNEL ENHANCEMENT MODE MOSFET","Q1","SOIC-8-PP","DMP3037LSS","1"
"Resistor","Generic Resistor","R1, R2, R3, R4, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15","0805","Resistor","14"
"SIM808","SIM808 GSM + GPRS + GPS Cellular Module","SIM808","SIM808","SIM808","1"
"MCP2515","IC CAN CTLR W/SPI 2.0B 20-QFN","U0","MCP2515","MCP2515","1"
"TCAN332","IC TXRX CAN 8SOIC","U1","SOIC-8","TCAN332","1"
"IXD3221","IC REG CTRLR BUCK SOT25","U2","SOT23-5","IXD3221","1"
"TVS Diode","TVS DIODE 5VWM 12.5VC SOT363","U3","SMF05CT2G","SMF05CT2G","1"
"MPU6050","IMU ACCEL/GYRO 3-AXIS I2C 24QFN","U5","MPU-6050","MPU6050","1"
"XTAL","XTAL16.0000MHZ 18PF SMD","Y1","XTAL-16.000","XTAL-16.000","1"
